airline,squadron,city,type,reg
aurora,1_AS,Habarovsk,A_319,VP-BDM 
aurora,1_AS,Habarovsk,A_319,VP-BDN  
aurora,1_AS,Habarovsk,A_319,VP-BUK 
aurora,1_AS,Habarovsk,A_319,VP-BUN
aurora,1_AS,Habarovsk,A_319,VP-BUO
aurora,1_AS,Habarovsk,A_319,VP-BWK
aurora,1_AS,Vladik,A_319,VP-BWA 
aurora,1_AS,Vladik,A_319,VP-BWL
aurora,1_AS,Sahalin,A_319,VP-BBD
aurora,2_AS,Habarovsk,DHC_8_Q400,RA-67252 
aurora,2_AS,Habarovsk,DHC_8_Q400,RA-67254 
aurora,2_AS,Habarovsk,DHC_8_Q400,RA-67256
aurora,2_AS,Sahalin,DHC_8_Q400,RA-67260
aurora,2_AS,Sahalin,DHC_8_Q400,RA-67262
aurora,2_AS,Habarovsk,DHC_8_Q300,RA-67253
aurora,2_AS,Habarovsk,DHC_8_Q200,RA-67257
aurora,2_AS,Habarovsk,DHC_8_Q200,RA-67259
aurora,3_AS,Habarovsk,DHC_6_400,RA-67283
aurora,3_AS,Habarovsk,DHC_6_400,RA-67284
aurora,3_AS,Habarovsk,DHC_6_400,RA-67285
